sample	HTO	ADT	hash_ident	adt_pca	adt_umap	PCs	resolution	batch_correction
JH310-12_AP	FALSE	TRUE	NA	FALSE	FALSE	30	0.8	NA
JH310-12_CP	FALSE	TRUE	NA	FALSE	FALSE	33	0.6	NA
JH310-12_FG	FALSE	TRUE	NA	FALSE	FALSE	30	1	NA
JH310-12_NG	FALSE	TRUE	NA	FALSE	FALSE	33	1	NA
JH313-15_AG	FALSE	TRUE	NA	FALSE	FALSE	33	0.8	NA
JH313-15_FD	FALSE	TRUE	NA	FALSE	FALSE	31	0.5	NA
JH313-15_MH	FALSE	TRUE	NA	FALSE	FALSE	25	0.8	NA
JH313-15_OF	FALSE	TRUE	NA	FALSE	FALSE	25	0.8	NA
JH310-12_BH	FALSE	TRUE	NA	FALSE	FALSE	22	0.5	NA
JH310-12_EB	FALSE	TRUE	NA	FALSE	FALSE	25	0.8	NA
JH310-12_MV	FALSE	TRUE	NA	FALSE	FALSE	33	1	NA
JH310-12_TS	FALSE	TRUE	NA	FALSE	FALSE	25	0.8	NA
JH313-15_DB	FALSE	TRUE	NA	FALSE	FALSE	33	0.8	NA
JH313-15_JB	FALSE	TRUE	NA	FALSE	FALSE	30	0.8	NA
JH313-15_NF	FALSE	TRUE	NA	FALSE	FALSE	33	1	NA
JH313-15_PH	FALSE	TRUE	NA	FALSE	FALSE	25	1	NA
merged	FALSE	TRUE	NA	FALSE	FALSE			